metodo,n,bias,MAE,RMSE,r,R2,NSE,slope,d_willmott
ET_PT,366,-0.28423,0.34866,0.52813,0.92181,0.84974,0.76994,0.74398,0.92872
ET_THC,366,3.52107,3.52107,3.70866,0.55683,0.31006,-10.34443,0.67463,0.37275
ET_TH,366,3.5227,3.5227,3.71505,0.54856,0.30092,-10.38359,0.66859,0.37155
ET_CAM,366,3.84949,3.84949,4.12183,0.93383,0.87205,-13.01293,2.07614,0.42063
ET_HS,366,8.18499,8.18499,8.26649,0.7823,0.61199,-55.36272,1.27484,0.20359
