metodo,fator_escala_k,parametro,valor_atual,valor_calibrado
ET_PT,0.9951953098394868,ALPHA_PT,1.26,1.2539460903977533
ET_HS,0.2801326361298738,a_HS,0.0023,0.0006443050630987098
ET_TH,1.0310093029149274,fator_multiplicativo,1.0,1.0310093029149274
ET_THC,1.0162175884418796,fator_multiplicativo,1.0,1.0162175884418796
ET_CAM,0.4143856946161305,K_CAMARGO,0.01,0.004143856946161305
