metodo,n,bias,MAE,RMSE,r,R2,d_willmott
ET_PT,12,-8.66906,8.7761,12.87201,0.90339,0.81612,0.86333
ET_THC,12,107.39267,107.39267,109.9202,0.91839,0.84344,0.31037
ET_TH,12,107.44229,107.44229,110.12568,0.9046,0.81831,0.3097
ET_CAM,12,117.40954,117.40954,119.51747,0.92104,0.84831,0.27222
ET_HS,12,249.64221,249.64221,250.40574,0.92289,0.85173,0.13498
