metodo,n,bias,MAE,RMSE,r,R2,NSE,slope,d_willmott
ET_PT,366,0.01573,0.46125,0.61429,0.91352,0.83452,0.79684,1.01151,0.95276
ET_TH,366,-0.09798,0.98043,1.25182,0.42349,0.17934,0.15633,0.23592,0.59202
ET_THC,366,-0.05199,0.98994,1.2689,0.43945,0.19311,0.13315,0.29941,0.64847
ET_HS,366,8.37159,8.37159,8.64926,0.83428,0.69603,-39.27629,1.94483,0.25672
ET_HS_CAL,366,-0.0,0.61079,0.79096,0.83428,0.69603,0.66318,0.54481,0.86924
ET_CAM,366,4.6039,4.61771,4.91392,0.93509,0.87439,-12.00012,2.00542,0.42967
ET_CAM_CAL,366,-0.0,0.33463,0.48714,0.93509,0.87439,0.87224,0.83102,0.96335
