method,rmse,mae,mbe,r2,willmott_d
et_thornthwaite,604.9947636200116,604.9947636200116,-604.9947636200116,,0.0
et_thornthwaite_camargo,1790.715012744329,1790.715012744329,-1790.715012744329,,0.0
et_camargo,626.038752744329,626.038752744329,-626.038752744329,,0.0
et_hargreaves_samani,73.92512202065359,73.92512202065359,-73.92512202065359,,0.0
et_hargreaves_samani_corr,1.8189894035458565e-12,1.8189894035458565e-12,-1.8189894035458565e-12,,0.0
et_priestley_taylor,526.0554553633849,526.0554553633849,526.0554553633849,,0.0
et_garcia_lopez,5884.981039412562,5884.981039412562,5884.981039412562,,0.0
