month,et_thornthwaite,et_thornthwaite_camargo,et_camargo,et_hargreaves_samani,et_hargreaves_samani_corr,et_priestley_taylor,et_penman_monteith,et_garcia_lopez
2024-01-01,155.96969454301086,155.96969454301086,48.6073128867284,149.57948724825124,74.86438725046865,7.176498341678565,77.07308374051787,1166.197982349337
2024-02-01,148.15895494252874,145.9071336047521,0.0,144.23389547345474,72.18892378904431,7.312256957276778,76.98175372354258,1090.9842743963252
2024-03-01,152.53607526881734,155.96969454301086,0.0,142.80812862249465,71.47532887290447,6.360259895946421,68.70350534788616,1166.096499261544
2024-04-01,148.07302188888906,150.93841407388146,0.0,139.93068066775726,70.03516898240419,5.466118359321423,64.07152948378562,1128.4799086081282
2024-05-01,149.67260072962964,155.96969454301086,0.0,136.02348948201958,68.07962361069679,4.3227844883571365,59.039245342233116,1166.0593732333266
2024-06-01,153.75956333333335,150.93841407388146,0.0,149.32875563168196,74.73889632130386,4.679288223857137,69.27302095956185,1128.6212091632844
2024-07-01,165.44350000000003,155.96969454301086,0.0,161.02059265471118,80.59064933011528,5.860712585035707,79.71157509993768,1166.4659388642972
2024-08-01,171.75796333333338,155.96969454301086,0.0,173.86910107108972,87.02131524139928,7.2033110113928505,92.3683461660694,1166.5825415072918
2024-09-01,172.21596666666667,150.93841407388146,0.0,176.93906064283806,88.55782700815784,8.089033090232137,101.93537149872692,1129.0219961160892
2024-10-01,169.08213333333333,155.96969454301086,0.0,175.33853709591017,87.75676653639783,8.28860485594642,92.05942361502929,1166.4695802231417
2024-11-01,157.6821766666667,150.93841407388146,0.0,158.78906312051984,79.47377097813049,7.006376874535708,79.54044717345272,1128.6889701017797
2024-12-01,147.85878666666667,155.96969454301086,0.0,146.25796303799078,73.20196762787663,5.585462666089279,67.22732339815607,1166.0934120225238
