method,rmse,mae,mbe,r2,willmott_d
et_thornthwaite,55.753717573196,50.41623030166764,-50.41623030166764,0.3469693769485944,0.4396225992295394
et_thornthwaite_camargo,150.54860682659447,149.22625106202742,-149.22625106202742,,0.1740543388370115
et_camargo,56.17528336925319,52.169896062027426,-52.169896062027426,0.3476624248223522,0.43471764910337685
et_hargreaves_samani,15.897548963890893,13.469821753683005,-6.160426835054483,0.6962482410176246,0.8767936653072548
et_hargreaves_samani_corr,15.430247295228265,14.035644764349778,-1.6579330501069003e-13,0.6962482410176251,0.8877822242381763
et_priestley_taylor,51.323944533562894,43.83795461361541,43.83795461361541,0.4640733973288338,0.48019656285413626
et_garcia_lopez,508.698566116048,490.4150866177135,490.4150866177135,0.367064463816806,0.06733061154597764
