date,tmed_c,rh_mean_pct,wind_mean_ms,tmax_c,rh_max_pct,wind_max_ms,tmin_c,rh_min_pct,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,et_thornthwaite,et_thornthwaite_camargo,et_camargo,et_hargreaves_samani,et_hargreaves_samani_corr,et_priestley_taylor,et_penman_monteith,et_garcia_lopez,T_med,I,I_Anual,a,et,T,UR,es_max,es_min,es,s,ea,delta_e,ra_extraterrestre_mj_m2_d
2024-01-01,28.3,78.4,1.0,33.3,82.3958333333333,2.88749999999999,24.1,57,0.0,0.510083333333333,0.2346383333333332,5.031280469129382,5.031280469129382,4.726100000000001,5.3708020526630085,2.68808118086978,0.1908965014285713,2.2465757952622036,37.6188862926873,28.146774193548392,13.683410558420444,170.64595402943502,4.658066786369904,150.93841407388146,4.599999999999998,12.69791666666665,3.986763436567782,2.476330045344838,0.7552166956114721,0.052889784770522134,0.09589678666149826,0.6593199089499738,16.7
2024-01-02,28.7,79.7,1.5,32.3,82.0416666666666,3.8,26.1,66,0.0,0.597391666666666,0.27480016666666635,5.031280469129382,5.031280469129382,3.989537952686987,4.447265985096347,2.225852281212325,0.2247387449999997,2.10236458731888,37.61785721301389,28.441379310344825,13.90082910343898,170.64595402943502,4.658066786369904,153.2678844233056,3.099999999999998,8.0208333333333,3.7909153757869953,2.7532701446187993,0.518822615584098,0.03678933403187618,0.04161389729164102,0.47720871829245703,16.7
2024-01-03,29.1,76.0,1.8,34.1,79.3958333333333,4.69583333333333,26.1,55,0.0,0.615335416666666,0.2830542916666664,5.031280469129382,5.031280469129382,3.8954842532741347,5.095210646904405,2.5501479515000938,0.23269172496428542,2.8251923814179976,37.62078613208436,27.741935483870975,13.38654382568431,170.64595402943502,4.658066786369904,147.6155567117587,4.0,12.19791666666665,4.149722821620966,2.7532701446187993,0.6982263385010832,0.04914208032875933,0.08516906691507993,0.6130572715860032,16.7
2024-01-04,29.4,72.0,1.6,34.9,74.1875,5.1125,26.8,49,0.0,0.693670833333333,0.3190885833333332,5.031280469129382,5.031280469129382,3.9474053063814942,5.159751847701824,2.582450759451889,0.2633313217499998,3.0471560593820195,37.62395253107946,27.796666666666674,13.426548661161545,170.64595402943502,4.658066786369904,148.07302188888906,4.049999999999999,12.59375,4.318444953099267,2.8563929422901966,0.731026005404535,0.05142924804874357,0.09206358755563362,0.6389624178489014,16.7
2024-01-05,26.1,84.2,1.6,28.7,86.0416666666666,4.22916666666666,23.7,74,3.8,0.3202375,0.14730925,5.031280469129382,5.031280469129382,3.456436119509414,3.770455587592169,1.8871093384062498,0.11640541628571428,1.6794104137144765,37.61429501414441,27.54516129032258,13.243050266319594,170.64595402943502,4.658066786369904,145.94955848074926,2.5,6.0208333333333,3.1534761781486544,2.4239634039032953,0.36475638712267955,0.025994202745211303,0.021961374141344546,0.342795012981335,16.7
2024-01-06,27.0,79.9,2.3,31.0,82.25,5.33958333333333,24.9,64,0.2,0.561241666666666,0.25817116666666634,5.031280469129382,5.031280469129382,3.7776162175642107,4.249983448194404,2.1271125642090856,0.20647760207142826,2.30745932374661,37.61769889306414,28.56333333333334,13.991171176163743,170.64595402943502,4.658066786369904,154.210341888889,3.0500000000000007,9.125,3.5488680030585673,2.5840371643542337,0.4824154193521668,0.03422196019102368,0.04402040701588522,0.4383950123362816,16.7
2024-01-07,28.5,75.6,1.6,35.2,78.9375,4.30416666666666,25.0,49,0.0,0.744079166666666,0.34227641666666636,5.031280469129382,5.031280469129382,4.180876996762582,5.679699830609695,2.842684216984148,0.2791955108571425,3.1459036197754404,37.62110277198387,29.470967741935482,14.66974384828976,170.64595402943502,4.658066786369904,160.82268595213327,5.100000000000001,14.96875,4.383236025941613,2.5977841382776066,0.8927259438320034,0.06226225979042683,0.133629914717353,0.7590960291146505,16.7
2024-01-08,29.3,70.3,1.8,34.1,73.625,4.90833333333333,26.2,51,0.0,0.7410416666666659,0.34087916666666634,5.031280469129382,5.031280469129382,4.510096714970075,5.0848571879194315,2.5449660553919298,0.28095218571428543,2.9049790725804026,37.62529825065238,30.422580645161293,15.392821552798889,170.64595402943502,4.658066786369904,166.9946323621229,3.950000000000001,11.3125,4.149722821620966,2.767799964305729,0.6909614286576182,0.0486509264186665,0.07816501161689306,0.6127964170407252,16.7
2024-01-09,27.8,78.0,1.5,30.8,81.875,4.04583333333333,25.6,64,2.6,0.386558333333333,0.1778168333333332,5.031280469129382,5.031280469129382,4.530975565268553,3.994025392718879,1.9990058074771686,0.14372349278571417,1.78214233701242,37.619202932586816,31.593333333333327,16.2984732563617,170.64595402943502,4.658066786369904,173.51942088888887,2.5999999999999996,8.9375,3.5128512223635613,2.681615535796669,0.4156178432834461,0.029594134449440812,0.037145844743457994,0.3784719985399881,16.7
2024-01-10,27.6,80.6,0.9,32.7,83.1666666666666,3.49166666666666,24.3,58,9.6,0.57055625,0.262455875,5.031280469129382,5.031280469129382,4.177012197471014,5.054053129855919,2.5295486544222006,0.21157692894642852,2.3515541465292773,37.61714477323999,30.083870967741934,15.13410216475005,170.64595402943502,4.658066786369904,164.8871042663892,4.200000000000001,12.5833333333333,3.868225632985801,2.50288216595381,0.6826717335159955,0.0479677784027288,0.08590285980076255,0.596768873715233,16.7
