date,tmed_c,rh_mean_pct,wind_mean_ms,tmax_c,rh_max_pct,wind_max_ms,tmin_c,rh_min_pct,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,et_thornthwaite,et_thornthwaite_camargo,et_camargo,et_hargreaves_samani,et_hargreaves_samani_corr,et_priestley_taylor,et_penman_monteith,et_garcia_lopez,T_med,I,I_Anual,a,et,T,UR,es_max,es_min,es,s,ea,delta_e,ra_extraterrestre_mj_m2_d,T_med.1,T_max_media,T_min_media,Tef
2024-01-01,25.11,66.02062500000001,2.068,32.71,84.6,5.792,19.76,39.02,0.0,23.25,12.29502,4.028614885605275,0,4.166596129032259,5.93113358894813,6.186528717177219,8.338851642857142,5.777879763114257,25.18934366269037,24.949677419354842,11.400285427900524,122.18399683540824,0.49239,120.85844656815823,6.475,22.789999999999996,3.8701758403453588,1.9576709755567447,0.956252432394307,0.06594261671799473,0.21792992934266253,0.7383225030516445,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-02,25.77,68.26166666666664,1.571,32.85,94.2,6.911,19.71,41.69,0.0,21.49,11.09841,4.028614885605275,0,4.166596129032259,6.066379141500026,6.327597954985635,7.776905579999998,5.623346842492847,27.11205208586835,25.17344827586207,11.555445024437999,122.18399683540824,0.49239,123.2498982318669,6.57,26.255000000000003,3.897568731824787,1.9522982992488185,0.9726352162879843,0.0670201179116582,0.2553653760364103,0.717269840251574,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-03,25.43,74.92563,1.456,33.67,92.2,6.032,20.28,44.81,0.254,23.15,12.6906,4.028614885605275,0,4.166596129032259,6.076028904653304,6.337663237779628,8.339178985714284,6.042922180283891,26.103335888218993,24.836129032258064,11.321825302616396,122.18399683540824,0.49239,119.6284787180021,6.695,23.695,4.061426531266039,2.014319112117119,1.02355370957446,0.0704564467516259,0.24253105148366833,0.7810226580907917,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-04,25.52,70.84052,2.226,32.71,90.7,8.43,20.91,40.7,0.0,23.49,11.74811,4.028614885605275,0,4.166596129032259,5.715757024730091,5.961878019370535,8.471983937142856,5.600467852032165,26.369091328100986,24.58866666666667,11.151471337122091,122.18399683540824,0.49239,116.90952610222229,5.9,25.0,3.8701758403453588,2.084869310037053,0.892653265154153,0.061848277770517934,0.22316331628853825,0.6694899488656147,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-05,25.68,65.43917,2.147,33.67,93.1,7.39,19.23,34.37,0.0,26.75,13.0834,4.028614885605275,0,4.166596129032259,6.346253840000002,6.619524082346473,9.66865757142857,6.461634519618053,26.845274196529584,22.15967741935484,9.526699193970437,122.18399683540824,0.49239,87.42593956815824,7.220000000000001,29.365,4.061426531266039,1.9013740682177454,1.080026231524147,0.07402484105085777,0.31714970288706573,0.7628765286370811,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-06,26.31,62.83969,1.857,34.79,91.3,7.151,19.13,28.82,0.0,30.77,15.93308,4.028614885605275,0,4.166596129032259,6.704667480745158,6.993371045636873,11.216377105714283,7.281432409072595,28.770104421776292,20.14466666666667,8.246274414956645,122.18399683540824,0.49239,59.116787435555636,7.83,31.24,4.294897730960764,1.8909125598749374,1.201992585542913,0.08197488429903313,0.375502483723606,0.8264901018193069,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-07,27.1,64.86958333333332,1.487,36.81,92.7,7.87,19.85,28.48,0.6,28.66,14.96038,4.028614885605275,0,4.166596129032259,7.10237456072698,7.408203427075205,10.557852685714286,7.801644076353658,31.324707676579862,18.639999999999993,7.331865985558314,122.18399683540824,0.49239,35.7002719999999,8.48,32.11,4.74558582042059,1.9673744318560986,1.3891056942822457,0.09423541899541323,0.44604183843402906,0.9430638558482167,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-08,27.13,68.32898,1.207,35.02,97.8,6.112,21.25,38.13,0.2,21.85,10.69405,4.028614885605275,0,4.166596129032259,6.403946512052923,6.679701005876091,8.052368014285715,5.960798551731131,31.42256511065341,19.92548387096774,8.11081419621769,122.18399683540824,0.49239,55.82688977835582,6.885000000000002,29.834999999999997,4.344260764399667,2.123835242942043,1.1102127607288121,0.07630275244413989,0.3312319771634411,0.778980783565371,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-09,27.85,63.21052,1.4,35.8,92.1,8.03,20.96,35.95,0.0,28.33,15.5022,4.028614885605275,0,4.166596129032259,6.754637386972611,7.045492660372854,10.540095557142855,7.317869612139229,33.90850236194668,24.81266666666666,11.30563612656753,122.18399683540824,0.49239,119.3729496755555,7.419999999999998,28.074999999999996,4.515357409834834,2.090560050820137,1.2123986795073487,0.08296186008521408,0.3403809292716881,0.8720177502356605,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-10,27.01,68.6875,1.627,34.68,95.4,6.432,20.77,40.22,1.0,25.42,13.74551,4.028614885605275,0,4.166596129032259,6.419228217555568,6.69564074294688,9.353114691428571,6.45422436659479,31.022452117078867,24.023548387096774,10.765744440081038,122.18399683540824,0.49239,110.50292284391264,6.955,27.590000000000003,4.271462221869286,2.0690073097251602,1.101227456072063,0.0756418356346844,0.30382865513028223,0.7973988009417807,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-11,25.43,83.32688,1.557,33.57,99.4,9.55,22.26,44.4,5.0,21.38,10.45241,4.028614885605275,0,4.166596129032259,5.584198468151672,5.824654539902908,7.7015830114285695,5.405127340629847,26.097897972968717,23.602333333333327,10.481252702772085,122.18399683540824,0.49239,105.54906699222215,5.654999999999999,27.500000000000004,4.041128342219239,2.2433711844130557,0.8988785789030918,0.062405275167100066,0.24719160919835026,0.6516869697047415,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-12,24.18,91.58615,1.017,29.88,98.3,5.792,21.97,63.26,8.2,13.03,4.31176,4.028614885605275,0,4.166596129032259,4.534975896951034,4.730252353525171,4.614138925714285,3.352545943897524,22.63693793954678,24.348064516129035,10.986682683207492,122.18399683540824,0.49239,114.21545435691996,3.955,17.52,3.3512441031381464,2.208461211853238,0.5713914456424543,0.04023027882953045,0.10010778127655799,0.47128366436589625,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
2024-01-13,24.56,79.89020833333336,2.411,29.35,98.2,6.671,20.91,59.28,0.0,19.0,10.41955,4.028614885605275,0,4.166596129032259,4.726846311664788,4.930384724985356,6.763489714285713,3.845199447639375,23.656437371246277,24.348064516129035,10.986682683207492,122.18399683540824,0.49239,1168.3566322709294,4.220000000000001,19.46,3.2611179243309367,2.084869310037053,0.588124307146942,0.04131758062030089,0.1144489901707949,0.47367531697614706,16.7,24.949677419354842,32.256129032258066,19.69741935483871,13.5634064516129
